Hourly Time,Hourly Sum
01.01.2015 00:00,173819
01.01.2015 01:00,167853
01.01.2015 02:00,162471
01.01.2015 03:00,159747
01.01.2015 04:00,157090
01.01.2015 05:00,151401
01.01.2015 06:00,152394
01.01.2015 07:00,155170
01.01.2015 08:00,165625
01.01.2015 09:00,177066
01.01.2015 10:00,188825
01.01.2015 11:00,194009
01.01.2015 12:00,190111
01.01.2015 13:00,187088
01.01.2015 14:00,186934
01.01.2015 15:00,196467
01.01.2015 16:00,214497
01.01.2015 17:00,217221
01.01.2015 18:00,214538
01.01.2015 19:00,205743
01.01.2015 20:00,200367
01.01.2015 21:00,200661
01.01.2015 22:00,189913
01.01.2015 23:00,177842
02.01.2015 00:00,170682
02.01.2015 01:00,166942
02.01.2015 02:00,166627
02.01.2015 03:00,169874
02.01.2015 04:00,175455
02.01.2015 05:00,185275
02.01.2015 06:00,202317
02.01.2015 07:00,218333
02.01.2015 08:00,230853
02.01.2015 09:00,238923
02.01.2015 10:00,245246
02.01.2015 11:00,246015
02.01.2015 12:00,241922
02.01.2015 13:00,237017
02.01.2015 14:00,234210
02.01.2015 15:00,239641
02.01.2015 16:00,251841
02.01.2015 17:00,253035
02.01.2015 18:00,246196
02.01.2015 19:00,230878
02.01.2015 20:00,220832
02.01.2015 21:00,214193
02.01.2015 22:00,191510
02.01.2015 23:00,176876
03.01.2015 00:00,167717
03.01.2015 01:00,162158
03.01.2015 02:00,160867
03.01.2015 03:00,162047
03.01.2015 04:00,163688
03.01.2015 05:00,168800
03.01.2015 06:00,178382
03.01.2015 07:00,191394
03.01.2015 08:00,205340
03.01.2015 09:00,215920
03.01.2015 10:00,224077
03.01.2015 11:00,224089
03.01.2015 12:00,223593
03.01.2015 13:00,219984
03.01.2015 14:00,219479
03.01.2015 15:00,228488
03.01.2015 16:00,241107
03.01.2015 17:00,242507
03.01.2015 18:00,237141
03.01.2015 19:00,221069
03.01.2015 20:00,210887
03.01.2015 21:00,209459
03.01.2015 22:00,198169
03.01.2015 23:00,185704
04.01.2015 00:00,169074
04.01.2015 01:00,163340
04.01.2015 02:00,160855
04.01.2015 03:00,161314
04.01.2015 04:00,159597
04.01.2015 05:00,157265
