Hourly Time,Hourly Sum
2015년 10월 1일   00시,557904.3242
2015년 10월 1일   01시,537670.625
2015년 10월 1일   02시,524698.293
2015년 10월 1일   03시,517785.5781
2015년 10월 1일   04시,518839.8789
2015년 10월 1일   05시,529359.1289
2015년 10월 1일   06시,558722.4375
2015년 10월 1일   07시,604425.6758
2015년 10월 1일   08시,665499.4727
2015년 10월 1일   09시,699915.25
2015년 10월 1일   10시,710184.8789
2015년 10월 1일   11시,713830.7383
2015년 10월 1일   12시,676455.2617
2015년 10월 1일   13시,706207.957
2015년 10월 1일   14시,721836.0508
2015년 10월 1일   15시,720115.9961
2015년 10월 1일   16시,721560.4453
2015년 10월 1일   17시,712095.9219
2015년 10월 1일   18시,710498.5937
2015년 10월 1일   19시,699936.2031
2015년 10월 1일   20시,674427.3867
2015년 10월 1일   21시,652116.6055
2015년 10월 1일   22시,633097.2617
2015년 10월 1일   23시,617604.1211
2015년 10월 2일   00시,575423.0625
2015년 10월 2일   01시,550806.4336
2015년 10월 2일   02시,540512.5703
2015년 10월 2일   03시,532200.6367
2015년 10월 2일   04시,533207.0273
2015년 10월 2일   05시,546500.0586
2015년 10월 2일   06시,573030.3047
2015년 10월 2일   07시,605879.125
2015년 10월 2일   08시,645506.7305
2015년 10월 2일   09시,663116.2852
2015년 10월 2일   10시,665838.8906
2015년 10월 2일   11시,662211.4727
2015년 10월 2일   12시,623359.6758
2015년 10월 2일   13시,655160.1523
2015년 10월 2일   14시,672448.2383
2015년 10월 2일   15시,674167.0742
2015년 10월 2일   16시,684509.0781
2015년 10월 2일   17시,680336.375
2015년 10월 2일   18시,688597.2734
2015년 10월 2일   19시,685902.25
2015년 10월 2일   20시,666968.9648
2015년 10월 2일   21시,646859.0156
2015년 10월 2일   22시,631812.1914
2015년 10월 2일   23시,619846.5313
2015년 10월 3일   00시,578473.1094
2015년 10월 3일   01시,552825.7227
2015년 10월 3일   02시,539598.5352
2015년 10월 3일   03시,531060.2461
2015년 10월 3일   04시,532258.582
2015년 10월 3일   05시,538798.1563
2015년 10월 3일   06시,546247.8008
2015년 10월 3일   07시,556294.9609
2015년 10월 3일   08시,578124.4336
2015년 10월 3일   09시,594637.2656
2015년 10월 3일   10시,603881.5156
2015년 10월 3일   11시,603401.7852
2015년 10월 3일   12시,581373.5234
2015년 10월 3일   13시,600556.582
2015년 10월 3일   14시,607916.1367
2015년 10월 3일   15시,607215.7813
2015년 10월 3일   16시,606485.5156
2015년 10월 3일   17시,595938.8359
2015년 10월 3일   18시,611897.5938
2015년 10월 3일   19시,617280.1523
2015년 10월 3일   20시,609689.7148
2015년 10월 3일   21시,601227.3867
2015년 10월 3일   22시,592556.3906
2015년 10월 3일   23시,577127.0586
2015년 10월 4일   00시,540202.2695
2015년 10월 4일   01시,518665.8359
2015년 10월 4일   02시,502562.9609
2015년 10월 4일   03시,493539.2695
2015년 10월 4일   04시,497499.1328
2015년 10월 4일   05시,505950.1406
2015년 10월 4일   06시,507417.3047
2015년 10월 4일   07시,509131.1563
2015년 10월 4일   08시,511701.5781
2015년 10월 4일   09시,519659.9062
2015년 10월 4일   10시,526801.6367
2015년 10월 4일   11시,526334.2344
2015년 10월 4일   12시,521622.2539
2015년 10월 4일   13시,532324.8945
2015년 10월 4일   14시,536678.9336
2015년 10월 4일   15시,542686.4414
2015년 10월 4일   16시,549134.6836
2015년 10월 4일   17시,559317.4414
2015년 10월 4일   18시,583899.207
2015년 10월 4일   19시,589603.332
2015년 10월 4일   20시,585062.6406
2015년 10월 4일   21시,575055.2305
2015년 10월 4일   22시,567463.8047
2015년 10월 4일   23시,551067.4062
2015년 10월 5일   00시,513672.6992
2015년 10월 5일   01시,493567.0391
2015년 10월 5일   02시,484020.2813
2015년 10월 5일   03시,481184.6758
2015년 10월 5일   04시,486343.8789
2015년 10월 5일   05시,507480.5313
2015년 10월 5일   06시,540475.8633
2015년 10월 5일   07시,587121.4805
2015년 10월 5일   08시,643460.7852
2015년 10월 5일   09시,668149.625
2015년 10월 5일   10시,671999.3945
2015년 10월 5일   11시,670474.293
2015년 10월 5일   12시,631291.1016
2015년 10월 5일   13시,666981.9375
2015년 10월 5일   14시,688204.8047
2015년 10월 5일   15시,691795.1914
2015년 10월 5일   16시,700108.5117
2015년 10월 5일   17시,697870.6602
2015년 10월 5일   18시,708796.6523
2015년 10월 5일   19시,705630.2344
2015년 10월 5일   20시,683737.9648
2015년 10월 5일   21시,658488.6328
2015년 10월 5일   22시,638788.0859
2015년 10월 5일   23시,623080.0273
2015년 10월 6일   00시,581412.8164
2015년 10월 6일   01시,558816.207
2015년 10월 6일   02시,545933.1523
2015년 10월 6일   03시,542110
2015년 10월 6일   04시,545705.2969
2015년 10월 6일   05시,560645.6484
2015년 10월 6일   06시,588112.6641
2015년 10월 6일   07시,622215.6445
2015년 10월 6일   08시,666513.7773
2015년 10월 6일   09시,683590.8945
2015년 10월 6일   10시,686548.2891
2015년 10월 6일   11시,683028.9922
2015년 10월 6일   12시,644501.7266
2015년 10월 6일   13시,681353.1875
2015년 10월 6일   14시,699721.8477
2015년 10월 6일   15시,701159.9141
2015년 10월 6일   16시,710614.8516
2015년 10월 6일   17시,705635.6719
2015년 10월 6일   18시,719725.4375
2015년 10월 6일   19시,714314.75
2015년 10월 6일   20시,692298.9531
2015년 10월 6일   21시,667143.5117
2015년 10월 6일   22시,646562.7188
2015년 10월 6일   23시,629902.6211
2015년 10월 7일   00시,586420.668
2015년 10월 7일   01시,564119.5938
2015년 10월 7일   02시,553659.8438
2015년 10월 7일   03시,546857.1719
2015년 10월 7일   04시,548282.9141
2015년 10월 7일   05시,565405.4375
2015년 10월 7일   06시,592031.4023
2015년 10월 7일   07시,624575.3398
2015년 10월 7일   08시,667090.0508
2015년 10월 7일   09시,685539.5898
2015년 10월 7일   10시,688750.582
2015년 10월 7일   11시,688217.8164
2015년 10월 7일   12시,649108.7266
2015년 10월 7일   13시,685328.7461
2015년 10월 7일   14시,709330.4727
2015년 10월 7일   15시,709082.4063
2015년 10월 7일   16시,715846.8359
2015년 10월 7일   17시,703839.6328
2015년 10월 7일   18시,711656.9141
2015년 10월 7일   19시,704936.6602
2015년 10월 7일   20시,687011.4297
2015년 10월 7일   21시,667239.8984
2015년 10월 7일   22시,646682.6914
2015년 10월 7일   23시,633426.1602
2015년 10월 8일   00시,587243.418
2015년 10월 8일   01시,562686.9336
2015년 10월 8일   02시,550890.2422
2015년 10월 8일   03시,545710.8398
2015년 10월 8일   04시,548435.3164
2015년 10월 8일   05시,564157.332
2015년 10월 8일   06시,590370.2773
2015년 10월 8일   07시,625086.7227
2015년 10월 8일   08시,671507.668
2015년 10월 8일   09시,691205.0352
2015년 10월 8일   10시,694287.2422
2015년 10월 8일   11시,689583.0313
2015년 10월 8일   12시,646778.2148
2015년 10월 8일   13시,680171.0391
2015년 10월 8일   14시,698149.6719
2015년 10월 8일   15시,694382.2109
2015년 10월 8일   16시,703206.7539
2015년 10월 8일   17시,696293.4414
2015년 10월 8일   18시,707010.3008
2015년 10월 8일   19시,699586.8594
2015년 10월 8일   20시,677911.5195
2015년 10월 8일   21시,657392.1445
2015년 10월 8일   22시,639287.5742
2015년 10월 8일   23시,630655.3789
2015년 10월 9일   00시,588503.375
2015년 10월 9일   01시,562320.3125
2015년 10월 9일   02시,547755.9531
2015년 10월 9일   03시,540030.3594
2015년 10월 9일   04시,542928.5312
2015년 10월 9일   05시,553425.2734
2015년 10월 9일   06시,565901.0273
2015년 10월 9일   07시,580470.3203
2015년 10월 9일   08시,606717.6836
2015년 10월 9일   09시,622882.2578
2015년 10월 9일   10시,623357.9805
2015년 10월 9일   11시,619408.043
2015년 10월 9일   12시,586685.0625
2015년 10월 9일   13시,607786.0039
2015년 10월 9일   14시,617837.5469
2015년 10월 9일   15시,619430.0508
2015년 10월 9일   16시,624689.9023
2015년 10월 9일   17시,622182.7187
2015년 10월 9일   18시,641956.832
2015년 10월 9일   19시,644908.4961
2015년 10월 9일   20시,638976.8672
2015년 10월 9일   21시,628674.1094
2015년 10월 9일   22시,619214.8672
2015년 10월 9일   23시,602201.6641
2015년 10월 10일   00시,562475.9844
2015년 10월 10일   01시,537333.1367
2015년 10월 10일   02시,523974.082
2015년 10월 10일   03시,516043.9063
2015년 10월 10일   04시,520377.3945
2015년 10월 10일   05시,533478.1523
2015년 10월 10일   06시,544276.7383
2015년 10월 10일   07시,554154.3867
2015년 10월 10일   08시,572223.7812
2015년 10월 10일   09시,577447.582
2015년 10월 10일   10시,584482.2812
2015년 10월 10일   11시,587123.1563
2015년 10월 10일   12시,565531.0313
2015년 10월 10일   13시,578964.0469
2015년 10월 10일   14시,583046.9922
2015년 10월 10일   15시,581747.9375
2015년 10월 10일   16시,582569.6719
2015년 10월 10일   17시,583526.6289
2015년 10월 10일   18시,600261.332
2015년 10월 10일   19시,601004.5156
2015년 10월 10일   20시,594955.6875
2015년 10월 10일   21시,586676.6484
